Date,AAPL,AMD,NVDA,TSM,AAPL_weight,NVDA_weight,AMD_weight,AAPL_corr,NVDA_corr,AMD_corr,Signal,TSM_MA_50,TSM_MA_200,Trend,Volatility,Vol_Adj,Position_Raw,Position_Size,Position,Position_Change,TSM_Returns,Portfolio_Value,Buy_Hold_Value,Cash,Holdings,Transaction_Costs,Strategy_Returns,Strategy_Cumulative,TSM_Cumulative
2019-04-17,48.492671966552734,27.489999771118164,4.6480793952941895,37.96882629394531,0.33887156838641913,0.33658318237056645,0.32454524924301437,0.9376176380573862,0.9312859440136397,0.8979784036971341,0.13167659074815163,34.228907623291015,33.722200078964235,1,0.012021330419592158,1.0,1,1.0,0.0,0.0,0.03208577387353562,89958.0777352657,226232.62436140337,100000.0,0.0,0.0,0.0,0.8995807773526571,2.2623262436140337
2019-04-18,48.66694641113281,27.68000030517578,4.623509407043457,38.83272933959961,0.3411518925422182,0.33612423212119746,0.3227238753365843,0.9256109342708344,0.9119699210997829,0.8756121665801203,0.15008711937986197,34.34283973693848,33.7600920009613,1,0.011348610075640609,1.0,1,1.0,0.0,0.0,0.022752956305948757,89958.0777352657,231380.0853784785,100000.0,0.0,0.0,0.0,0.8995807773526571,2.313800853784785
2019-04-22,48.82688903808594,28.18000030517578,4.677363395690918,38.618892669677734,0.3435659248606357,0.33440467758734727,0.322029397552017,0.9297360369903647,0.9049444580897184,0.8714552701809898,0.1095917468573008,34.46310127258301,33.797556209564206,1,0.010652872942263773,1.0,1,1.0,0.0,0.0,-0.005506609335950374,89958.0777352657,230105.9656401804,100000.0,0.0,0.0,-0.0,0.8995807773526571,2.301059656401804
2019-04-23,49.53114318847656,27.969999313354492,4.731963157653809,38.84982681274414,0.3466532955888578,0.3331544476133448,0.32019225679779745,0.9373231384441857,0.9008233194296409,0.8657745789995159,0.1361027686487648,34.59362678527832,33.83531974792481,1,0.009754004722574535,1.0,1,1.0,0.0,0.0,0.005979823011541985,89958.0777352657,231481.95858860863,100000.0,0.0,0.0,0.0,0.8995807773526571,2.3148195858860863
2019-04-24,49.454750061035156,28.459999084472656,4.744369983673096,38.841270446777344,0.34807822603157945,0.3312184704045371,0.3207033035638835,0.9417986111832034,0.8961810078775716,0.86773001960464,0.14307143713803097,34.715427780151366,33.870132293701175,1,0.009774543170137607,1.0,1,1.0,0.0,0.0,-0.00022024206203130614,89958.0777352657,231430.97652472602,100000.0,0.0,0.0,-0.0,0.8995807773526571,2.3143097652472604
2019-04-25,49.00592803955078,27.65999984741211,4.638648509979248,38.045799255371094,0.3496708674436815,0.3299627038816577,0.32036642867466075,0.9425364195110111,0.8894131437440382,0.8635464224458965,0.1819837910477906,34.815332107543945,33.89857250213623,1,0.011195921182595402,1.0,1,1.0,0.0,0.0,-0.020480050787634596,89958.0777352657,226691.25837166776,100000.0,0.0,0.0,-0.0,0.8995807773526571,2.2669125837166777
2019-04-26,48.77198791503906,27.8799991607666,4.41975736618042,37.58391571044922,0.3508039268587226,0.32741323459175314,0.32178283854952433,0.9433201442625749,0.8804220136707666,0.8652817441351017,0.17911442688692797,34.914723052978516,33.924275703430176,1,0.011843242399063229,1.0,1,1.0,0.0,0.0,-0.012140198233755561,89958.0777352657,223939.18155717623,100000.0,0.0,0.0,-0.0,0.8995807773526571,2.2393918155717625
2019-04-29,48.845985412597656,27.690000534057617,4.450531959533691,37.48982620239258,0.3510170783760004,0.32456693568871353,0.32441598593528603,0.9442117213087513,0.8730626624903848,0.8726566180689158,0.12152383779600975,35.01343002319336,33.95361407279968,1,0.011640541783143622,1.0,1,1.0,0.0,0.0,-0.002503451444003768,89958.0777352657,223378.5606897379,100000.0,0.0,0.0,-0.0,0.8995807773526571,2.233785606897379
2019-04-30,47.90541076660156,27.6299991607666,4.491978168487549,37.48127365112305,0.3505991093663575,0.3221410294153426,0.3272598612182999,0.9435954752000572,0.8670039643910572,0.8807806865747222,0.10004364585517639,35.11145278930664,33.98145557403564,1,0.011562006094492715,1.0,1,1.0,0.0,0.0,-0.0002281299257926861,89958.0777352657,223327.60135526408,100000.0,0.0,0.0,-0.0,0.8995807773526571,2.233276013552641
2019-05-01,50.256866455078125,26.809999465942383,4.478823184967041,37.48127365112305,0.3512873703659279,0.3208033738806151,0.32790925575345703,0.9430593015341042,0.8612225523123465,0.8802988657841506,0.08052958891089596,35.20314598083496,34.00732978820801,1,0.011515554177023058,1.0,1,1.0,0.0,0.0,0.0,89958.0777352657,223327.60135526408,100000.0,0.0,0.0,0.0,0.8995807773526571,2.233276013552641
2019-05-02,49.929813385009766,28.290000915527344,4.546328544616699,37.97737121582031,0.3520774828549132,0.31921385609975345,0.32870866104533336,0.9446233413609832,0.8564502816612468,0.8819248286289678,0.07432181693801743,35.29552337646484,34.03559888839722,1,0.011544103111997663,1.0,1,1.0,0.0,0.0,0.013235877983095223,89958.0777352657,226283.5382370597,100000.0,0.0,0.0,0.0,0.8995807773526571,2.262835382370597
2019-05-03,50.550498962402344,28.219999313354492,4.5418596267700195,38.24253845214844,0.35311161113485623,0.31760466207553156,0.32928372678961215,0.9466212720080148,0.8514342766678216,0.8827435022692551,0.06942275635939442,35.39354606628418,34.06412469863891,1,0.011559415536303819,1.0,1,1.0,0.0,0.0,0.006982243052611858,89958.0777352657,227863.50489983583,100000.0,0.0,0.0,0.0,0.8995807773526571,2.2786350489983582
2019-05-06,49.769859313964844,27.420000076293945,4.463436603546143,37.429962158203125,0.3540498571812411,0.31649223545652,0.3294579073622389,0.9462922230039115,0.8459095095759751,0.8805637093773362,0.0704998859548934,35.468303451538084,34.08700525283813,1,0.012770836746397526,1.0,1,1.0,0.0,0.0,-0.021247969586591697,89958.0777352657,223021.86807782992,100000.0,0.0,0.0,-0.0,0.8995807773526571,2.2302186807782993
2019-05-07,48.42822265625,26.65999984741211,4.29616641998291,37.429962158203125,0.3566471345860215,0.31338599013291213,0.32996687528106644,0.9455605623016534,0.8308644716618762,0.8748245362852649,0.054960588933604504,35.53981033325195,34.10389841079712,1,0.012768794091527024,1.0,1,1.0,0.0,0.0,0.0,89958.0777352657,223021.86807782992,100000.0,0.0,0.0,0.0,0.8995807773526571,2.2302186807782993
2019-05-08,48.4377555847168,27.09000015258789,4.316267013549805,37.378631591796875,0.3586188359771315,0.3108611646394247,0.33051999938344373,0.9453962448432488,0.8194967699255253,0.8713216789388788,0.018929494556099317,35.60994873046875,34.1166003036499,1,0.012714766528364459,1.0,0,0.7571797822439726,0.0,0.0,-0.0013713763906384457,89958.0777352657,222716.0211533519,100000.0,0.0,0.0,-0.0,0.8995807773526571,2.227160211533519
2019-05-09,47.9173469543457,27.209999084472656,4.22369909286499,36.99372863769531,0.360698522777525,0.30759823620690074,0.33170324101557436,0.9453780317413419,0.8062040644722809,0.8693824269054284,0.042270248085542694,35.67495506286621,34.12733491897583,1,0.012986742610584702,1.0,1,1.0,0.0,0.0,-0.010297406237472662,89958.0777352657,220422.6238079423,100000.0,0.0,0.0,-0.0,0.8995807773526571,2.204226238079423
2019-05-10,47.25352478027344,27.959999084472656,4.189700126647949,36.63448715209961,0.3629405488599224,0.30413210894142884,0.3329273421986489,0.9438919446425321,0.7909500568032537,0.8658372216597845,0.020459001566197448,35.73961936950683,34.13777017593384,1,0.013108831903513245,1.0,0,0.8183600626478978,0.0,0.0,-0.009710875297648358,89958.0777352657,218282.1271953629,100000.0,0.0,0.0,-0.0,0.8995807773526571,2.182821271953629
2019-05-13,44.507164001464844,26.239999771118164,3.9323413372039795,35.06065368652344,0.3650174193027591,0.30129984088878325,0.3336827398084577,0.9415563362964969,0.7771979070364762,0.8607290539162875,0.024889645099087112,35.76699058532715,34.138197917938236,1,0.016116613530787492,1.0,0,0.9955858039634844,0.0,0.0,-0.04296043394962534,89958.0777352657,208904.63228760278,100000.0,0.0,0.0,-0.0,0.8995807773526571,2.089046322876028
2019-05-14,45.21173095703125,27.31999969482422,4.021434783935547,35.898887634277344,0.3669994870699095,0.297577415757417,0.3354230971726735,0.937982757759187,0.7605527934316276,0.8572793499360399,-0.0382676893384844,35.815232315063476,34.1431162071228,1,0.017109248092349108,1.0,0,1.0,0.0,0.0,0.023908109507841502,89958.0777352657,213899.14711303017,100000.0,0.0,0.0,0.0,0.8995807773526571,2.1389914711303017
2019-05-15,45.75333786010742,27.579999923706055,3.96038556098938,35.898887634277344,0.369920501417634,0.2927060692738944,0.3373734293084716,0.9358056194460423,0.7404725702488882,0.8534697314388959,-0.007392877493542661,35.86569778442383,34.14534008026123,1,0.016948371758314113,1.0,0,0.2957150997417064,0.0,0.0,0.0,89958.0777352657,213899.14711303017,100000.0,0.0,0.0,0.0,0.8995807773526571,2.1389914711303017
