Date,ASML_Direct_Momentum_Fixed_Cumulative,ASML_Direct_Momentum_Fixed_Returns,ASML_w/_Supplier_Confirmation_Cumulative,ASML_w/_Supplier_Confirmation_Returns,Adaptive_Momentum_Cumulative,Adaptive_Momentum_Returns,ASML_Buy_and_Hold_Benchmark_Cumulative,ASML_Buy_and_Hold_Benchmark_Returns
2025-01-02,1.0818721795889878,0.010590293814663587,1.0818721795889878,0.010590293814663587,0.8190080086772841,0.010590293814663587,1.0500672604853272,0.010590293814663587
2025-01-03,1.1034039586999098,0.019902331825467634,1.1034039586999098,0.019902331825467634,0.8181890006686068,-0.001,1.070966047542566,0.019902331825467634
2025-01-06,1.1870444097757609,0.07580220318803343,1.1870444097757609,0.07580220318803343,0.8181890006686068,0.0,1.1521476334858727,0.07580220318803343
2025-01-07,1.1701618868577985,-0.014222317866904088,1.1701618868577985,-0.014222317866904088,0.8181890006686068,-0.0,1.1357614236128353,-0.014222317866904088
2025-01-08,1.1491550989884651,-0.0179520356159798,1.1491550989884651,-0.0179520356159798,0.8026826535873324,-0.0189520356159798,1.1153721940848818,-0.0179520356159798
2025-01-10,1.1414785773094267,-0.0066801441213597545,1.1414785773094267,-0.0066801441213597545,0.7973206177776535,-0.0066801441213597545,1.1079213470794376,-0.0066801441213597545
2025-01-13,1.1235611097284774,-0.01569671821891072,1.1235611097284774,-0.01569671821891072,0.7848053007102699,-0.01569671821891072,1.0905306178856156,-0.01569671821891072
2025-01-14,1.1372771245594828,0.012207626903640412,1.1372771245594828,0.012207626903640412,0.7943859110133402,0.012207626903640412,1.1038434087957596,0.012207626903640412
2025-01-15,1.1218466078746019,-0.013567947821739534,1.1218466078746019,-0.013567947821739534,0.7836077244223862,-0.013567947821739534,1.0888665190218476,-0.013567947821739534
2025-01-16,1.1588862818211323,0.03301670093445663,1.1588862818211323,0.03301670093445663,0.8094798663095703,0.03301670093445663,1.1248172992379348,0.03301670093445663
2025-01-17,1.1682310497805488,0.008063576302526965,1.1682310497805488,0.008063576302526965,0.8160071689769168,0.008063576302526965,1.1338873493567423,0.008063576302526965
2025-01-21,1.1785335746043792,0.008818910288136639,1.1785335746043792,0.008818910288136639,0.8232034629946006,0.008818910288136639,1.1438870001675725,0.008818910288136639
